timestamp,levelPlayID,playerId,timePlayed,TotalScore,MapScore,MapScorePercentage,enemiesKilledPct,HealthBarrelsTaken,PowerUpsTaken,AvgEnemiesAliveOnPowerUpTaken,lootTakenPct,deaths,bowmanTime,knightTime,berserkerTime,bowLightAtk,bowHeavyAtk,bowLightDash,bowHeavyDash,bowDefense,knightLightAtk,knightHeavyAtk,knightLightDash,knightHeavyDash,knightDefense,berserkLightAtk,berserkHeavyAtk,berserkLightDash,berserkHeavyDash,berserkDefense,damageTakenMelee,damageTakenRanged,damageTakenGuardianShield,damageTakenTraps,BowLightAttacksMeleeEnemy,BowHeavyAttacksMeleeEnemy,BowHeavyDashesMeleeEnemy,BowLightAttacksRangedEnemy,BowHeavyAttacksRangedEnemy,BowHeavyDashesRangedEnemy,BowLightAttacksBomberEnemy,BowHeavyAttacksBomberEnemy,BowHeavyDashesBomberEnemy,BowLightAttacksAssassinEnemy,BowHeavyAttacksAssassinEnemy,BowHeavyDashesAssassinEnemy,BowLightAttacksGuardianEnemy,BowHeavyAttacksGuardianEnemy,BowHeavyDashesGuardianEnemy,KnightLightAttacksMeleeEnemy,KnightHeavyAttacksMeleeEnemy,KnightHeavyDashesMeleeEnemy,KnightLightAttacksRangedEnemy,KnightHeavyAttacksRangedEnemy,KnightHeavyDashesRangedEnemy,KnightLightAttacksBomberEnemy,KnightHeavyAttacksBomberEnemy,KnightHeavyDashesBomberEnemy,KnightLightAttacksAssassinEnemy,KnightHeavyAttacksAssassinEnemy,KnightHeavyDashesAssassinEnemy,KnightLightAttacksGuardianEnemy,KnightHeavyAttacksGuardianEnemy,KnightHeavyDashesGuardianEnemy,BerserkerLightAttacksMeleeEnemy,BerserkerHeavyAttacksMeleeEnemy,BerserkerHeavyDashesMeleeEnemy,BerserkerLightAttacksRangedEnemy,BerserkerHeavyAttacksRangedEnemy,BerserkerHeavyDashesRangedEnemy,BerserkerLightAttacksBomberEnemy,BerserkerHeavyAttacksBomberEnemy,BerserkerHeavyDashesBomberEnemy,BerserkerLightAttacksAssassinEnemy,BerserkerHeavyAttacksAssassinEnemy,BerserkerHeavyDashesAssassinEnemy,BerserkerLightAttacksGuardianEnemy,BerserkerHeavyAttacksGuardianEnemy,BerserkerHeavyDashesGuardianEnemy,GeometryBehavior,FurnishingBehaviorSpread,FurnishingBehaviorRatio,EnemyBehaviorRatio,EnemyBehaviorDifficulty,AttackSpeedMultiplier,MovementSpeedMultiplier,DamageMultiplier,FormChangeCount,FormChangeCountInCombat,OptionalRoomPercentage,AverageDistanceToMainPath,AverageDistanceToWall,AverageDistanceToEnemies,BowDefenseToMelee,BowDefenseToRanged,BowDefenseToBomber,BowDefenseToAssasssin,BowDefenseToGuardian,KnightDefenseToMelee,KnightDefenseToRanged,KnightDefenseToBomber,KnightDefenseToAssasssin,KnightDefenseToGuardian,BerserkerDefenseToMelee,BerserkerDefenseToRanged,BerserkerDefenseToBomber,BerserkerDefenseToAssasssin,BerserkerDefenseToGuardian,POTakePct,HPTakePct,AvgEneAliveOnPOTakePct
3/11/2026 20:17:57,,a337940f472f2f83c15e80db566145fe9e844d0d,181.2596588,1010,1010,101,100,12,18,1.888888836,100,0,92.25273132,68.27947998,20.72721672,35,3,4,2,5,0,4,1,1,1,8,3,0,1,1,0,64.5,30,85,0,0,0,0,0,0,2,4,0,0,0,0,15,9,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,2.049999952,1.700000167,1.599999905,22,10,0,5.398222446,5.038191795,5.193466663,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,100,37.77777672
3/11/2026 20:17:59,,fd2eaf3136fac08e6700d6dd68069251f24c50fa,82.64015961,980,980,98,100,13,17,1.647058845,96.66666412,1,27.85582924,8.387367249,46.39668274,22,0,1,1,1,8,0,0,0,0,53,0,1,1,0,20,20,45,80,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,3,0,0,16,0,3,1,4,1,63,1,1.899999857,1.600000143,1.749999881,5,3,0,7.01384306,4.89464426,2.021220684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.44444444,100,32.94117689
3/11/2026 20:18:00,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,64.73992157,980,980,98,100,13,17,2.705882311,86.66666412,0,40.17675018,6.580186844,17.98266029,18,2,16,0,0,0,0,0,1,0,0,1,2,0,0,20,66.25,10,20,0,0,0,4,0,0,4,0,0,3,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,63,1,1.899999857,1.300000072,2.200000048,9,7,0,7.948763847,3.557822704,6.9775033,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,94.44444444,75,54.11764622
3/11/2026 20:18:45,,332832d0de48f394023730e687ec4de012bc2dd5,87.8170166,980,980,98,100,13,17,2,90,0,58.89980316,14.05996418,14.85704613,6,12,0,0,1,0,2,0,0,0,6,6,1,0,0,0,79,60,0,0,0,0,1,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,2,3,0,1,4,1,63,1,2.049999952,1.600000143,1.599999905,10,8,0,6.951282024,4.087656498,5.225440025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.44444444,83.33333333,40
3/11/2026 20:22:13,,ef8e579cb1a16a70de2ad7b7b18756c76ff7b026,109.0005341,980,980,98,100,13,17,2.647058725,96.66666412,1,0,0,109.0005341,0,0,0,0,0,0,0,0,0,0,39,7,7,6,5,40,50,90,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,2,1,2,0,6,3,6,1,4,1,63,1,2.350000143,1.400000095,1.599999905,0,0,0,8.236881256,3.510182858,3.18518877,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,94.44444444,100,52.94117451
3/11/2026 20:23:50,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,46.17938614,950,950,95,100,14,16,3.1875,63.33333206,0,19.42504501,3.840029478,22.91428566,12,0,8,0,0,0,0,1,1,0,12,1,3,2,0,0,25.375,50,40,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,3,0,0,10,1,2,1,4,1,63,1,1,1.900000215,2.049999952,9,6,0,4.778220654,3.019065142,5.660875797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.88888889,25,63.75
3/11/2026 20:42:26,,859ff94f6646458b4f672002968ec47fd1e90d32,112.4781723,830,830,83,100,18,12,1.083333373,76.66666412,0,70.28202057,26.55203629,15.64523888,6,9,6,0,2,1,0,0,0,0,6,2,0,0,1,20,89,10,40,0,0,0,0,6,0,0,6,0,1,1,0,4,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.899999857,1.200000048,1.599999905,29,25,0,5.047993183,6.81730032,5.913523197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,91.66666667,21.66666746
3/11/2026 20:42:35,,73c1cf26c9e39aa883150192665195bf061e2bef,33.24061584,860,860,86,100,17,13,1.923076868,60,3,33.24061584,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,20,25,65,0,0,0,0,6,0,0,4,0,0,3,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.599999905,1.200000048,2.049999952,0,0,0,5.382255554,3.462108612,1.1775949,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72.22222222,41.66666667,38.46153736
3/11/2026 21:23:27,,bba0d2654a69a22340cc970a6ec9106055f2abbb,146.2785645,830,830,83,100,18,12,2.166666746,76.66666412,0,0,146.2785645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.899999857,1.400000095,1.299999952,1,0,0,7.288167953,5.394224167,4.931921005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,91.66666667,43.33333492
3/12/2026 9:25:50,,06ff48572547bf12bd40561cc5d6f926c19fcaf4,64.57950592,870,870,87,20,12,18,4.611111164,76.66666412,0,40.33916092,4.759202957,19.48137856,7,0,5,0,0,0,0,0,0,0,0,0,5,0,1,0,10,0,30,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.449999928,1.500000119,2.500000238,5,3,0,5.140166283,3.116532087,8.29091835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,41.66666667,92.22222328
